Mon Oct 12 11:44:37 2020
Joystick Mode (120s)
{'Time': 15354, 'Left_wheel_dist': -3694, 'Right_wheel_dist': -3692, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.72, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15444, 'Left_wheel_dist': -3754, 'Right_wheel_dist': -3754, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.06, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15548, 'Left_wheel_dist': -3830, 'Right_wheel_dist': -3821, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.61, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15652, 'Left_wheel_dist': -3898, 'Right_wheel_dist': -3892, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15756, 'Left_wheel_dist': -3965, 'Right_wheel_dist': -3967, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.99, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15845, 'Left_wheel_dist': -4027, 'Right_wheel_dist': -4024, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15949, 'Left_wheel_dist': -4095, 'Right_wheel_dist': -4093, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16053, 'Left_wheel_dist': -4164, 'Right_wheel_dist': -4164, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.94, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16156, 'Left_wheel_dist': -4237, 'Right_wheel_dist': -4232, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16246, 'Left_wheel_dist': -4297, 'Right_wheel_dist': -4294, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.41, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16350, 'Left_wheel_dist': -4365, 'Right_wheel_dist': -4370, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 4.15, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 10.25, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16454, 'Left_wheel_dist': -4436, 'Right_wheel_dist': -4436, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.59, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16559, 'Left_wheel_dist': -4509, 'Right_wheel_dist': -4507, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16649, 'Left_wheel_dist': -4569, 'Right_wheel_dist': -4569, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.94, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16752, 'Left_wheel_dist': -4642, 'Right_wheel_dist': -4638, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.14, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16857, 'Left_wheel_dist': -4713, 'Right_wheel_dist': -4713, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 10.01, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 16947, 'Left_wheel_dist': -4770, 'Right_wheel_dist': -4775, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.75, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17051, 'Left_wheel_dist': -4841, 'Right_wheel_dist': -4841, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17156, 'Left_wheel_dist': -4914, 'Right_wheel_dist': -4914, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 10.09, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17246, 'Left_wheel_dist': -4972, 'Right_wheel_dist': -4974, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 10.25, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17349, 'Left_wheel_dist': -5045, 'Right_wheel_dist': -5043, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.69, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17454, 'Left_wheel_dist': -5116, 'Right_wheel_dist': -5118, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.97, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 17556, 'Left_wheel_dist': -5184, 'Right_wheel_dist': -5189, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 10.01, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17646, 'Left_wheel_dist': -5244, 'Right_wheel_dist': -5246, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.13, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.36, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17751, 'Left_wheel_dist': -5315, 'Right_wheel_dist': -5319, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.13, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17854, 'Left_wheel_dist': -5386, 'Right_wheel_dist': -5388, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.94, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17957, 'Left_wheel_dist': -5457, 'Right_wheel_dist': -5457, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 18048, 'Left_wheel_dist': -5519, 'Right_wheel_dist': -5525, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 4.12, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 5}
