Sun Oct 11 08:33:53 2020
Joystick Mode (120s)
{'Time': 17246, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 17348, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17451, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 17552, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17654, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17757, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 17847, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 17949, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 18052, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 18153, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
