Fri Aug 14 13:32:34 2020
Joystick Mode (120s)
{'Time': 15266, 'Left_wheel_dist': -861, 'Right_wheel_dist': -1131, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 6.15, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15357, 'Left_wheel_dist': -896, 'Right_wheel_dist': -1162, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 6.15, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.72, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15461, 'Left_wheel_dist': -934, 'Right_wheel_dist': -1199, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.14, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15565, 'Left_wheel_dist': -974, 'Right_wheel_dist': -1237, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 6.14, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15656, 'Left_wheel_dist': -1007, 'Right_wheel_dist': -1272, 'IMU_roll': -0.02, 'IMU_pitch': -0.03, 'IMU_yaw': 6.12, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15760, 'Left_wheel_dist': -1044, 'Right_wheel_dist': -1317, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.11, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15864, 'Left_wheel_dist': -1084, 'Right_wheel_dist': -1354, 'IMU_roll': -0.04, 'IMU_pitch': -0.05, 'IMU_yaw': 6.08, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15955, 'Left_wheel_dist': -1120, 'Right_wheel_dist': -1388, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 6.07, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16059, 'Left_wheel_dist': -1155, 'Right_wheel_dist': -1423, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 6.04, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16163, 'Left_wheel_dist': -1197, 'Right_wheel_dist': -1461, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 5.99, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 10.12, 'Loop_dt': 23, 'Acc_Accu': 6}
