Wed Feb 10 13:42:49 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 14257, 'Left_wheel_dist': -1658, 'Right_wheel_dist': -1038, 'IMU_roll': -0.09, 'IMU_pitch': 0.12, 'IMU_yaw': 5.30, 'IMU_Acc_x': 1.89, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 10.14, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 14352, 'Left_wheel_dist': -1746, 'Right_wheel_dist': -1042, 'IMU_roll': -0.10, 'IMU_pitch': 0.13, 'IMU_yaw': 5.16, 'IMU_Acc_x': 1.70, 'IMU_Acc_y': -0.68, 'IMU_Acc_z': 9.27, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14456, 'Left_wheel_dist': -1848, 'Right_wheel_dist': -1044, 'IMU_roll': -0.10, 'IMU_pitch': 0.13, 'IMU_yaw': 5.00, 'IMU_Acc_x': 1.92, 'IMU_Acc_y': -0.91, 'IMU_Acc_z': 10.15, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14554, 'Left_wheel_dist': -1939, 'Right_wheel_dist': -1049, 'IMU_roll': -0.11, 'IMU_pitch': 0.13, 'IMU_yaw': 4.84, 'IMU_Acc_x': 1.76, 'IMU_Acc_y': -0.87, 'IMU_Acc_z': 8.87, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14655, 'Left_wheel_dist': -2019, 'Right_wheel_dist': -1075, 'IMU_roll': -0.03, 'IMU_pitch': 0.10, 'IMU_yaw': 4.73, 'IMU_Acc_x': 0.94, 'IMU_Acc_y': 2.36, 'IMU_Acc_z': 9.84, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14754, 'Left_wheel_dist': -2092, 'Right_wheel_dist': -1118, 'IMU_roll': 0.05, 'IMU_pitch': 0.08, 'IMU_yaw': 4.69, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 1.82, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14854, 'Left_wheel_dist': -2154, 'Right_wheel_dist': -1160, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 4.65, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.96, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14954, 'Left_wheel_dist': -2211, 'Right_wheel_dist': -1210, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 4.63, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 10.01, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15055, 'Left_wheel_dist': -2269, 'Right_wheel_dist': -1261, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 4.62, 'IMU_Acc_x': 0.89, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15156, 'Left_wheel_dist': -2317, 'Right_wheel_dist': -1306, 'IMU_roll': 0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 4.59, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 10.24, 'Loop_dt': 20, 'Acc_Accu': 8}
