Sun Oct 11 08:36:44 2020
Joystick Mode (120s)
{'Time': 16541, 'Left_wheel_dist': 345, 'Right_wheel_dist': 363, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 6.22, 'IMU_Acc_x': 1.27, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.98, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 16645, 'Left_wheel_dist': 352, 'Right_wheel_dist': 369, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.22, 'IMU_Acc_x': -0.93, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.64, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 16748, 'Left_wheel_dist': 356, 'Right_wheel_dist': 371, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 6.22, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.99, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16856, 'Left_wheel_dist': 356, 'Right_wheel_dist': 371, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 6.22, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 16951, 'Left_wheel_dist': 354, 'Right_wheel_dist': 369, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 6.22, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 17052, 'Left_wheel_dist': 354, 'Right_wheel_dist': 369, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 6.22, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17154, 'Left_wheel_dist': 329, 'Right_wheel_dist': 354, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 6.22, 'IMU_Acc_x': -0.70, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 10.03, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17255, 'Left_wheel_dist': 281, 'Right_wheel_dist': 303, 'IMU_roll': -0.01, 'IMU_pitch': -0.06, 'IMU_yaw': 6.21, 'IMU_Acc_x': -2.26, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17350, 'Left_wheel_dist': 261, 'Right_wheel_dist': 281, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.93, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 17442, 'Left_wheel_dist': 252, 'Right_wheel_dist': 267, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': 1.86, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.88, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 17549, 'Left_wheel_dist': 245, 'Right_wheel_dist': 259, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.98, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 25, 'Acc_Accu': 7}
{'Time': 17650, 'Left_wheel_dist': 245, 'Right_wheel_dist': 259, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17751, 'Left_wheel_dist': 245, 'Right_wheel_dist': 259, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17847, 'Left_wheel_dist': 247, 'Right_wheel_dist': 261, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 6.20, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17947, 'Left_wheel_dist': 247, 'Right_wheel_dist': 261, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 6.20, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 18048, 'Left_wheel_dist': 245, 'Right_wheel_dist': 259, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 6.20, 'IMU_Acc_x': -0.23, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 18147, 'Left_wheel_dist': 239, 'Right_wheel_dist': 259, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.34, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 6}
