Wed Feb 10 13:36:28 2021
Program 11: 1s Stillstand, 3.5s Kreisfahrt, Stillstand
{'Time': 14452, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.82, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14556, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.82, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 14651, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14755, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14851, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14955, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15051, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15155, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 15252, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15356, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15452, 'Left_wheel_dist': 1538, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15556, 'Left_wheel_dist': 1536, 'Right_wheel_dist': 752, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
