Wed Feb 10 13:42:14 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 16056, 'Left_wheel_dist': -2767, 'Right_wheel_dist': -1729, 'IMU_roll': -0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.14, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 9.65, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16157, 'Left_wheel_dist': -2816, 'Right_wheel_dist': -1775, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 5.15, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.94, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16257, 'Left_wheel_dist': -2866, 'Right_wheel_dist': -1824, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16356, 'Left_wheel_dist': -2915, 'Right_wheel_dist': -1872, 'IMU_roll': 0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.68, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.69, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16456, 'Left_wheel_dist': -2968, 'Right_wheel_dist': -1921, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 10.31, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16557, 'Left_wheel_dist': -3017, 'Right_wheel_dist': -1965, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.15, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.82, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16652, 'Left_wheel_dist': -3090, 'Right_wheel_dist': -1992, 'IMU_roll': -0.08, 'IMU_pitch': 0.05, 'IMU_yaw': 5.10, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -3.55, 'IMU_Acc_z': 9.41, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16756, 'Left_wheel_dist': -3181, 'Right_wheel_dist': -2012, 'IMU_roll': -0.14, 'IMU_pitch': 0.07, 'IMU_yaw': 5.00, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': -2.77, 'IMU_Acc_z': 10.21, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16852, 'Left_wheel_dist': -3267, 'Right_wheel_dist': -2023, 'IMU_roll': -0.16, 'IMU_pitch': 0.07, 'IMU_yaw': 4.86, 'IMU_Acc_x': 1.34, 'IMU_Acc_y': -1.85, 'IMU_Acc_z': 10.08, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16958, 'Left_wheel_dist': -3362, 'Right_wheel_dist': -2032, 'IMU_roll': -0.13, 'IMU_pitch': 0.09, 'IMU_yaw': 4.71, 'IMU_Acc_x': 2.04, 'IMU_Acc_y': -0.73, 'IMU_Acc_z': 11.12, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17053, 'Left_wheel_dist': -3447, 'Right_wheel_dist': -2036, 'IMU_roll': -0.13, 'IMU_pitch': 0.07, 'IMU_yaw': 4.54, 'IMU_Acc_x': 0.76, 'IMU_Acc_y': -1.21, 'IMU_Acc_z': 10.85, 'Loop_dt': 19, 'Acc_Accu': 8}
