Mon Aug 10 17:50:42 2020
Joystick Mode (120s)
{'Time': 14351, 'Left_wheel_dist': -179, 'Right_wheel_dist': -119, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.42, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14440, 'Left_wheel_dist': -201, 'Right_wheel_dist': -137, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.41, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14542, 'Left_wheel_dist': -225, 'Right_wheel_dist': -157, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.40, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14645, 'Left_wheel_dist': -252, 'Right_wheel_dist': -181, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.39, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14747, 'Left_wheel_dist': -281, 'Right_wheel_dist': -208, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.38, 'IMU_Acc_x': -0.56, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14850, 'Left_wheel_dist': -314, 'Right_wheel_dist': -239, 'IMU_roll': -0.00, 'IMU_pitch': -0.03, 'IMU_yaw': 0.37, 'IMU_Acc_x': -0.49, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.73, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 14951, 'Left_wheel_dist': -347, 'Right_wheel_dist': -267, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15052, 'Left_wheel_dist': -376, 'Right_wheel_dist': -296, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.35, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15141, 'Left_wheel_dist': -405, 'Right_wheel_dist': -323, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.35, 'IMU_Acc_x': -0.30, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.70, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15244, 'Left_wheel_dist': -438, 'Right_wheel_dist': -354, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.33, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
