Wed Feb 10 13:39:17 2021
Program 13: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei 0/1 m/s, 4 Wiederholungen
{'Time': 14760, 'Left_wheel_dist': -1129, 'Right_wheel_dist': -1996, 'IMU_roll': 0.02, 'IMU_pitch': 0.11, 'IMU_yaw': 0.71, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': -1.79, 'IMU_Acc_z': 9.67, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 14859, 'Left_wheel_dist': -1177, 'Right_wheel_dist': -2056, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 0.74, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.27, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 14968, 'Left_wheel_dist': -1226, 'Right_wheel_dist': -2127, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 0.75, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 10.25, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15059, 'Left_wheel_dist': -1270, 'Right_wheel_dist': -2178, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 7}
{'Time': 15159, 'Left_wheel_dist': -1315, 'Right_wheel_dist': -2224, 'IMU_roll': 0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.94, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15260, 'Left_wheel_dist': -1365, 'Right_wheel_dist': -2269, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.30, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15361, 'Left_wheel_dist': -1410, 'Right_wheel_dist': -2320, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.36, 'IMU_Acc_z': 9.92, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15460, 'Left_wheel_dist': -1458, 'Right_wheel_dist': -2366, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.90, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15569, 'Left_wheel_dist': -1507, 'Right_wheel_dist': -2417, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 9.81, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 15661, 'Left_wheel_dist': -1551, 'Right_wheel_dist': -2461, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 10.00, 'Loop_dt': 20, 'Acc_Accu': 7}
{'Time': 15761, 'Left_wheel_dist': -1598, 'Right_wheel_dist': -2514, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15861, 'Left_wheel_dist': -1644, 'Right_wheel_dist': -2565, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15962, 'Left_wheel_dist': -1693, 'Right_wheel_dist': -2612, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.67, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16060, 'Left_wheel_dist': -1742, 'Right_wheel_dist': -2656, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16169, 'Left_wheel_dist': -1797, 'Right_wheel_dist': -2714, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 9.97, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16262, 'Left_wheel_dist': -1839, 'Right_wheel_dist': -2758, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.74, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 10.41, 'Loop_dt': 20, 'Acc_Accu': 7}
{'Time': 16363, 'Left_wheel_dist': -1888, 'Right_wheel_dist': -2807, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.74, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.76, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16463, 'Left_wheel_dist': -1934, 'Right_wheel_dist': -2853, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 10.36, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16563, 'Left_wheel_dist': -1983, 'Right_wheel_dist': -2906, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.74, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.41, 'IMU_Acc_z': 9.35, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16667, 'Left_wheel_dist': -2001, 'Right_wheel_dist': -2986, 'IMU_roll': 0.10, 'IMU_pitch': 0.02, 'IMU_yaw': 0.80, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 2.99, 'IMU_Acc_z': 10.08, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 16763, 'Left_wheel_dist': -2014, 'Right_wheel_dist': -3061, 'IMU_roll': 0.18, 'IMU_pitch': 0.05, 'IMU_yaw': 0.89, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 3.49, 'IMU_Acc_z': 9.00, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16867, 'Left_wheel_dist': -2023, 'Right_wheel_dist': -3161, 'IMU_roll': 0.20, 'IMU_pitch': 0.08, 'IMU_yaw': 1.01, 'IMU_Acc_x': 1.45, 'IMU_Acc_y': 2.25, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16962, 'Left_wheel_dist': -2030, 'Right_wheel_dist': -3243, 'IMU_roll': 0.18, 'IMU_pitch': 0.09, 'IMU_yaw': 1.13, 'IMU_Acc_x': 1.49, 'IMU_Acc_y': 1.29, 'IMU_Acc_z': 10.62, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 17067, 'Left_wheel_dist': -2032, 'Right_wheel_dist': -3345, 'IMU_roll': 0.18, 'IMU_pitch': 0.07, 'IMU_yaw': 1.31, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': 1.53, 'IMU_Acc_z': 8.85, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 17161, 'Left_wheel_dist': -2034, 'Right_wheel_dist': -3431, 'IMU_roll': 0.13, 'IMU_pitch': 0.08, 'IMU_yaw': 1.48, 'IMU_Acc_x': 2.02, 'IMU_Acc_y': 0.56, 'IMU_Acc_z': 10.57, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 17265, 'Left_wheel_dist': -2036, 'Right_wheel_dist': -3528, 'IMU_roll': 0.15, 'IMU_pitch': 0.08, 'IMU_yaw': 1.66, 'IMU_Acc_x': 1.32, 'IMU_Acc_y': 0.82, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17362, 'Left_wheel_dist': -2036, 'Right_wheel_dist': -3615, 'IMU_roll': 0.12, 'IMU_pitch': 0.08, 'IMU_yaw': 1.83, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 1.06, 'IMU_Acc_z': 11.09, 'Loop_dt': 19, 'Acc_Accu': 8}
